model,arm,fold,pearson
FullSNP_MLP_top50k,clean_var,0,0.40642
FullSNP_MLP_top50k,clean_sup,0,0.38473
FullSNP_MLP_top50k,leaky_sup,0,0.59400
Ridge_top50k,clean_var,0,0.38752
Ridge_top50k,clean_sup,0,0.37564
Ridge_top50k,leaky_sup,0,0.59510
Ridge_top20k,clean_var,0,0.29842
Ridge_top20k,clean_sup,0,0.36535
Ridge_top20k,leaky_sup,0,0.69288
SparseGate_MLP_top20k,clean_var,0,0.33012
SparseGate_MLP_top20k,clean_sup,0,0.40566
SparseGate_MLP_top20k,leaky_sup,0,0.70211
FullSNP_MLP_top50k,clean_var,1,0.44732
FullSNP_MLP_top50k,clean_sup,1,0.51742
FullSNP_MLP_top50k,leaky_sup,1,0.70654
Ridge_top50k,clean_var,1,0.41085
Ridge_top50k,clean_sup,1,0.44956
Ridge_top50k,leaky_sup,1,0.65372
Ridge_top20k,clean_var,1,0.34822
Ridge_top20k,clean_sup,1,0.42139
Ridge_top20k,leaky_sup,1,0.73110
SparseGate_MLP_top20k,clean_var,1,0.37705
SparseGate_MLP_top20k,clean_sup,1,0.50373
SparseGate_MLP_top20k,leaky_sup,1,0.76368
FullSNP_MLP_top50k,clean_var,2,0.51088
FullSNP_MLP_top50k,clean_sup,2,0.54567
FullSNP_MLP_top50k,leaky_sup,2,0.70306
Ridge_top50k,clean_var,2,0.47368
Ridge_top50k,clean_sup,2,0.50622
Ridge_top50k,leaky_sup,2,0.68929
Ridge_top20k,clean_var,2,0.39921
Ridge_top20k,clean_sup,2,0.46503
Ridge_top20k,leaky_sup,2,0.74114
SparseGate_MLP_top20k,clean_var,2,0.43499
SparseGate_MLP_top20k,clean_sup,2,0.52200
SparseGate_MLP_top20k,leaky_sup,2,0.77635
FullSNP_MLP_top50k,clean_var,3,0.45879
FullSNP_MLP_top50k,clean_sup,3,0.44469
FullSNP_MLP_top50k,leaky_sup,3,0.66389
Ridge_top50k,clean_var,3,0.46607
Ridge_top50k,clean_sup,3,0.43644
Ridge_top50k,leaky_sup,3,0.63763
Ridge_top20k,clean_var,3,0.37195
Ridge_top20k,clean_sup,3,0.42014
Ridge_top20k,leaky_sup,3,0.71553
SparseGate_MLP_top20k,clean_var,3,0.35640
SparseGate_MLP_top20k,clean_sup,3,0.41886
SparseGate_MLP_top20k,leaky_sup,3,0.73798
FullSNP_MLP_top50k,clean_var,4,0.48740
FullSNP_MLP_top50k,clean_sup,4,0.53454
FullSNP_MLP_top50k,leaky_sup,4,0.68470
Ridge_top50k,clean_var,4,0.45004
Ridge_top50k,clean_sup,4,0.46416
Ridge_top50k,leaky_sup,4,0.66054
Ridge_top20k,clean_var,4,0.34868
Ridge_top20k,clean_sup,4,0.45336
Ridge_top20k,leaky_sup,4,0.75603
SparseGate_MLP_top20k,clean_var,4,0.40839
SparseGate_MLP_top20k,clean_sup,4,0.53351
SparseGate_MLP_top20k,leaky_sup,4,0.75605
FullSNP_MLP_top50k,clean_var,5,0.46190
FullSNP_MLP_top50k,clean_sup,5,0.48700
FullSNP_MLP_top50k,leaky_sup,5,0.68400
Ridge_top50k,clean_var,5,0.46825
Ridge_top50k,clean_sup,5,0.45078
Ridge_top50k,leaky_sup,5,0.65239
Ridge_top20k,clean_var,5,0.37388
Ridge_top20k,clean_sup,5,0.44589
Ridge_top20k,leaky_sup,5,0.71173
SparseGate_MLP_top20k,clean_var,5,0.38590
SparseGate_MLP_top20k,clean_sup,5,0.50294
SparseGate_MLP_top20k,leaky_sup,5,0.73953
FullSNP_MLP_top50k,clean_var,6,0.51861
FullSNP_MLP_top50k,clean_sup,6,0.47794
FullSNP_MLP_top50k,leaky_sup,6,0.64607
Ridge_top50k,clean_var,6,0.49054
Ridge_top50k,clean_sup,6,0.47439
Ridge_top50k,leaky_sup,6,0.65048
Ridge_top20k,clean_var,6,0.38193
Ridge_top20k,clean_sup,6,0.47810
Ridge_top20k,leaky_sup,6,0.72364
SparseGate_MLP_top20k,clean_var,6,0.42872
SparseGate_MLP_top20k,clean_sup,6,0.48872
SparseGate_MLP_top20k,leaky_sup,6,0.72448
FullSNP_MLP_top50k,clean_var,7,0.47344
FullSNP_MLP_top50k,clean_sup,7,0.51052
FullSNP_MLP_top50k,leaky_sup,7,0.65226
Ridge_top50k,clean_var,7,0.44340
Ridge_top50k,clean_sup,7,0.47422
Ridge_top50k,leaky_sup,7,0.64744
Ridge_top20k,clean_var,7,0.37745
Ridge_top20k,clean_sup,7,0.47479
Ridge_top20k,leaky_sup,7,0.72399
SparseGate_MLP_top20k,clean_var,7,0.41860
SparseGate_MLP_top20k,clean_sup,7,0.50403
SparseGate_MLP_top20k,leaky_sup,7,0.72946
FullSNP_MLP_top50k,clean_var,8,0.43017
FullSNP_MLP_top50k,clean_sup,8,0.45222
FullSNP_MLP_top50k,leaky_sup,8,0.65208
Ridge_top50k,clean_var,8,0.43352
Ridge_top50k,clean_sup,8,0.41225
Ridge_top50k,leaky_sup,8,0.64263
Ridge_top20k,clean_var,8,0.27969
Ridge_top20k,clean_sup,8,0.43119
Ridge_top20k,leaky_sup,8,0.73763
SparseGate_MLP_top20k,clean_var,8,0.35796
SparseGate_MLP_top20k,clean_sup,8,0.46594
SparseGate_MLP_top20k,leaky_sup,8,0.72988
FullSNP_MLP_top50k,clean_var,9,0.49057
FullSNP_MLP_top50k,clean_sup,9,0.51617
FullSNP_MLP_top50k,leaky_sup,9,0.69001
Ridge_top50k,clean_var,9,0.43790
Ridge_top50k,clean_sup,9,0.45067
Ridge_top50k,leaky_sup,9,0.65907
Ridge_top20k,clean_var,9,0.31054
Ridge_top20k,clean_sup,9,0.41976
Ridge_top20k,leaky_sup,9,0.72042
SparseGate_MLP_top20k,clean_var,9,0.35599
SparseGate_MLP_top20k,clean_sup,9,0.46135
SparseGate_MLP_top20k,leaky_sup,9,0.73537
